timestamp,LeftEye_Openness_Openness,RightEye_Openness_Openness,LeftEye_PupilDilation_PupilDilation,RightEye_PupilDilation_PupilDilation,LeftEye_PupilPosition_X,LeftEye_PupilPosition_Y,RightEye_PupilPosition_X,RightEye_PupilPosition_Y,LeftEye_Gaze_X,LeftEye_Gaze_Y,LeftEye_Gaze_Z,RightEye_Gaze_X,RightEye_Gaze_Y,RightEye_Gaze_Z,FMS,Condition
2025-07-14 16:58:08.958,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.967,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.976,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:08.984,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:08.992,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.000,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.008,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.016,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.024,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.032,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.041,1,1,2.485962,2.751785,0.5149724,0.5969089,0.509552,0.5689796,-0.0614624,-0.09515381,0.9935608,-0.05519104,-0.05303955,0.9970551,0.0,MB
2025-07-14 16:58:09.051,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.059,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.067,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.075,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.083,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.091,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.100,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.108,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.116,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.124,1,1,2.477417,2.750809,0.5148479,0.5969986,0.5095891,0.5689499,-0.06047058,-0.09536743,0.9935913,-0.05529785,-0.05258179,0.9970703,0.0,MB
2025-07-14 16:58:09.133,1,1,2.471878,2.751877,0.5148261,0.5969591,0.509552,0.5689796,-0.06036377,-0.09527588,0.9936066,-0.05513,-0.05302429,0.9970551,0.0,MB
2025-07-14 16:58:09.141,1,1,2.471878,2.751877,0.5148261,0.5969591,0.509552,0.5689796,-0.06036377,-0.09527588,0.9936066,-0.05513,-0.05302429,0.9970551,0.0,MB
2025-07-14 16:58:09.149,1,1,2.471878,2.751877,0.5148261,0.5969591,0.509552,0.5689796,-0.06036377,-0.09527588,0.9936066,-0.05513,-0.05302429,0.9970551,0.0,MB
