Timestamp,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL
2025-07-15 16:17:28.821,0.2440361365131056,-0.0673804887061414,0.1766556481848704,0.079810429543659
2025-07-15 16:17:28.825,0.2384359699398823,-0.0715043482462896,0.166931622063976,0.0782515862788691
2025-07-15 16:17:28.829,0.2253543410322672,-0.0698113180226918,0.155543023372547,0.0739397726244872
2025-07-15 16:17:28.833,0.2069437773548121,-0.0660559017656779,0.1408878759448177,0.0703676080337223
2025-07-15 16:17:28.836,0.1848034004269034,-0.064801051063357,0.1200023497117667,0.0670710032067536
2025-07-15 16:17:28.840,0.158856041803668,-0.0645956151848001,0.0942604269593719,0.0620587679644307
2025-07-15 16:17:28.844,0.1307811872218192,-0.0607976819126083,0.0699835056419771,0.0543122631594618
2025-07-15 16:17:28.848,0.1055241647256027,-0.0545208298522034,0.0510033351985335,0.0442983966969941
2025-07-15 16:17:28.852,0.0853362531438756,-0.0516763149246624,0.0336599385366867,0.033765012587332
2025-07-15 16:17:28.856,0.0661214005099357,-0.0530556948625342,0.0130657059570544,0.0243526928550044
2025-07-15 16:17:28.860,0.0443229589563708,-0.0531863456405464,-0.008863386382459,0.0151976816292432
2025-07-15 16:17:28.864,0.0229633317830434,-0.0496583342251962,-0.0266950021483793,0.0037028806094905
2025-07-15 16:17:28.868,0.0063629397837534,-0.0461822691038062,-0.0398193290341748,-0.0093873365891603
2025-07-15 16:17:28.872,-0.0061687189446969,-0.0452018708136445,-0.0513705894803515,-0.0191969892993905
2025-07-15 16:17:28.876,-0.0170249576434701,-0.0437369820448083,-0.0607619394182906,-0.0243021789332083
2025-07-15 16:17:28.879,-0.0253237049064265,-0.0387740884132916,-0.0640977930578997,-0.0299246702638356
2025-07-15 16:17:28.883,-0.0293916576610469,-0.0325117255182542,-0.061903382925653,-0.0392105367505497
2025-07-15 16:17:28.887,-0.0309756418604189,-0.0289793787858164,-0.0599550204005804,-0.0477461569885962
2025-07-15 16:17:28.891,-0.0333103532880438,-0.0274132080742527,-0.060723561124621,-0.0515318919265308
2025-07-15 16:17:28.895,-0.0361676533608847,-0.0231569729759028,-0.0593246261073824,-0.053806465776471
